"가뭄","누적강수량","가조시간","평균기온","수위"
"정상",933.6,9.8,-4.2,36
"정상",916.9,9.7,5.1,35
"정상",1006.5,12.8,22.6,45
"정상",1022.3,12.4,27.2,45
"정상",992.7,10.4,13.9,44
"정상",391.3,13,12.3,41
"정상",512.9,13.6,16.2,45
"정상",360.3,11.3,3.7,68
"정상",233.3,13.6,11.8,68
"정상",348.4,14.5,23.5,69
"정상",604.8,14.4,24.8,69
"정상",747.1,13.3,25,70
"정상",881,12.7,20.6,70
"약한가뭄",631,11.8,20.6,70
"약한가뭄",411.7,10,-7.4,51
"정상",401.2,10.2,-3.6,52
"정상",293.3,11.1,3.4,49
"정상",266.8,11.6,3.6,52
"정상",266.3,12,5.6,63
"보통습윤",712.2,14.4,20.6,59
"심한습윤",719.6,14.4,20.8,59
"보통습윤",1133.1,14.3,26.4,41
"정상",1106.5,13.8,30,37
"보통습윤",1513.6,12.2,20.5,55
"보통습윤",1550,11,16.1,44
"보통습윤",1523.1,10.7,12.7,40
"보통습윤",1427.6,10.3,9.6,40
"보통습윤",1386,10.1,10.8,34
"보통습윤",1380.8,10,9.9,33
"보통습윤",1361.2,9.8,6.8,91
"보통습윤",1352.3,9.8,-2.3,91
"정상",867.4,12.4,20.1,70
"정상",913.6,11.8,20.4,70
"정상",815.4,10,5.2,70
"정상",754.4,9.8,-2.3,69
"정상",529.8,10.1,-3.1,68
"보통가뭄",109.8,13.2,13.9,68
"보통습윤",387.9,14.1,23.9,55
"정상",731.8,13.8,28.7,24
"정상",1017.8,12.7,20.4,43
"정상",1109.8,10.6,9.3,53
"정상",1043.3,9.8,-0.6,41
"정상",759.3,9.9,-0.1,46
"정상",749.3,10,1.2,49
"보통습윤",758.9,10.5,1.1,53
"보통습윤",720.4,11.3,5.6,58
"심한습윤",397.6,12,6.9,45
"심한습윤",366.3,12.3,6.5,49
"심한습윤",366.1,12.6,8.2,47
"정상",155.6,12.9,10.5,44
"정상",233.6,13.8,14.8,43
"정상",274.6,14.4,19.8,44
"정상",459.2,14.5,24.8,57
"정상",693.4,13.4,27,36
"정상",1189.1,10.7,12.4,51
"정상",1157.1,10.1,9.2,40
"정상",1159.7,9.9,6.3,39
"정상",1137.7,9.8,2,69
"정상",763.8,10.2,2.6,68
"심한습윤",639.1,11.7,5.2,68
"정상",190.7,12.9,10.6,68
"정상",232.7,13.5,14.3,68
"정상",259.7,13.8,16.2,68
"정상",294.9,14,17.4,68
"정상",301,14.3,19.5,68
"정상",301,14.4,22.6,68
"정상",281.4,14.5,26,68
"보통습윤",925.4,14.1,22.3,70
"보통습윤",1443,10.3,10.2,70
"보통습윤",1454,10,3.1,70
"심한습윤",1019.2,10.8,3.2,55
"심한습윤",952.3,11,3.6,55
"정상",344,13.6,17.6,34
"정상",464.9,14.5,19,43
"정상",476.2,14.5,20.4,57
"정상",1125.1,12.4,25,53
"정상",758.8,9.8,-0.7,61
"정상",459.7,10.7,0.5,46
"정상",353,11,2.5,46
"정상",304,11.1,0.5,46
"보통습윤",1383.8,10.3,16.9,42
"보통습윤",1351.3,10.2,13.6,43
"보통습윤",1205.7,9.8,7.2,0
"보통습윤",1205.7,9.8,6.9,0
"보통습윤",935.4,9.9,0.2,0
"보통습윤",948.7,10,5.6,0
"정상",672.2,10.2,6.4,0
"심한습윤",670.6,11.6,7.4,0
"정상",510.3,14,18.1,0
"정상",463.7,14.4,20.7,0
"정상",463.7,14.4,21.1,0
"정상",221.1,11.8,8.6,45
"정상",249.7,12.5,15.6,49
"보통습윤",429.8,14.1,19.6,61
"보통습윤",457.5,14.4,23.6,57
"보통습윤",450.8,14.6,20.4,46
"정상",742.6,13.8,31.2,22
"정상",1185.4,12.7,20.8,52
"정상",1153.6,11.8,15.5,60
"정상",1095.2,10.9,12.8,55
"정상",1117.1,10.9,10.3,55
"정상",1123.5,10.6,10.5,65
"정상",1084.4,9.9,5.7,63
"심한습윤",1506,13,27.9,0
"심한습윤",1764,11.4,16.6,0
"심한습윤",1630.2,10.3,15.8,0
"보통습윤",944.1,10.2,9.2,0
"정상",428.8,11.5,7.7,0
"정상",279.4,12.3,12.2,0
"정상",250.6,14.1,17.2,35
"정상",1113,9.8,2.7,71
"정상",1115.3,9.7,-2.5,67
"심한습윤",804.2,10.7,-2.7,50
"정상",306.1,11.6,9.7,34
"정상",242.6,14.5,19.1,45
"정상",242.6,14.5,21.5,45
"보통가뭄",308.8,14.5,24.4,25
"보통가뭄",540.7,13.1,23.2,26
"보통가뭄",542.1,13,23.2,26
"정상",707.1,14.5,21.9,0
"보통습윤",1071.3,14.2,26.8,0
"정상",1066.4,14.1,28.2,0
"보통습윤",1362.4,13.2,25.2,0
"정상",1282.3,10,4.7,0
"정상",998.2,9.8,7.7,70
"정상",1025.9,9.7,1.2,73
"정상",963.7,9.7,-7,71
"정상",1051.7,10.7,11.2,123
"정상",1051.7,10.6,10.3,123
"정상",1064.8,9.9,6.3,123
"심한습윤",643.1,11.3,5.6,76
"정상",247.2,11.9,7.3,70
"정상",246.9,12,6.1,70
"약한가뭄",195.1,14.7,23.9,67
"정상",328.5,14.5,23.1,12
"정상",402,14.6,26.1,12
"정상",577.5,13.8,27.4,12
"정상",577.5,13.7,26.9,11
"정상",729.8,13.1,22.7,12
"정상",762.4,13,22.3,13
"정상",798.3,12.6,22.5,13
"정상",813.9,12.3,21.7,12
"정상",843,11.5,21.6,12
"정상",762,9.8,6,11
"정상",721.4,9.7,-0.5,11
"정상",630.8,9.8,-3.1,11
"정상",579.1,9.9,0.7,11
"정상",247.6,12,9.3,11
"약한가뭄",190.5,14.2,18.9,11
"정상",1133.8,12.7,20.9,13
"정상",1109.8,12.3,24.9,12
"정상",1061.1,11.9,17.6,12
"정상",1162.4,11.4,14.4,12
"정상",849.9,9.8,-1.5,45
"정상",671.4,10.1,-8.3,48
"정상",301.6,11,-1.7,44
"정상",287.7,11.1,-1.4,45
"보통습윤",388.1,14.1,18.9,47
"정상",409.5,14.7,24.9,34
"정상",644.8,14.5,26.5,35
"정상",631.8,14.3,29.3,27
"정상",664.8,13.3,28.7,21
"정상",985.9,10,5.8,46
"정상",787.5,9.8,-2.4,51
"정상",755.4,10.1,-1.3,49
"정상",720.1,10.3,-2.8,49
"심한습윤",756.4,11.1,0.8,51
"정상",255.8,14.6,20.3,39
"약한가뭄",308.2,14.5,20.7,20
"정상",512.4,14,27.9,31
"약한가뭄",628.4,12.9,21.1,42
"약한가뭄",671.4,12.6,23.8,44
"약한가뭄",671.4,12.6,19.9,43
"정상",769,12,20.3,49
"정상",820.9,11.1,13.9,47
"정상",825,10,4.7,47
"정상",778,9.7,1.9,138
"심한습윤",560.8,11.3,2.8,138
"심한습윤",498.1,12.1,6.8,138
"정상",311.7,12.7,8.5,138
"정상",326.2,14.3,17.3,138
"정상",457.8,14.6,21.1,138
"정상",413.2,14.5,24.5,138
"심한습윤",1549.3,11.7,16.6,138
"심한습윤",1462,9.9,4.2,138
"약한가뭄",174,11.7,5.5,138
"정상",207.8,12.8,10.6,138
"정상",388.3,14.6,23.8,138
"정상",389.7,14.7,22.6,138
"정상",390.5,14.7,21.2,138
"정상",567.1,14.4,25.7,138
"정상",189.5,12.9,16.4,138
"약한가뭄",197.8,14.4,19,138
"약한가뭄",195.6,14.6,17.8,138
"약한가뭄",265.1,14.6,28.2,138
"약한가뭄",271.8,14.6,27.4,138
"정상",884.8,12.7,19.2,139
"정상",857.9,11.1,9.8,138
"정상",818.1,10.3,14.6,138
"정상",812.4,9.7,-8.2,138
"정상",818.7,9.7,-5.7,138
"정상",628.1,13.6,24.3,138
"정상",626.8,13.5,23.2,138
"정상",799.8,10.1,9.5,138
"정상",731.3,9.7,5.8,138
"정상",709,9.7,4.3,138
"정상",686.1,9.7,-6.1,138
"정상",687,9.7,-6.8,138
"정상",530.5,10.4,-3.5,138
"정상",469,10.6,-2.7,138
"정상",445.3,10.9,-6.2,138
"정상",219.4,11.9,9.8,139
"정상",220.7,12.1,5.7,138
"정상",191.8,12.6,6.5,139
"정상",678.4,9.9,-10.7,31
"정상",591.4,10.4,-3,33
"정상",317.3,11.2,4.9,30
"정상",273.8,12,6.2,62
"정상",389.3,13.7,16.3,58
"정상",800.9,14.2,28.8,31
"정상",801.9,13.7,28.9,28
"정상",1033.8,12,18.3,37
"정상",1036.5,10.7,8,58
"정상",1014,10.2,8.8,69
"정상",723.8,9.8,-4.5,63
"정상",393.1,11.4,4.4,49
"보통가뭄",251,14.5,26.9,22
"보통가뭄",492.3,13.5,23.8,28
"보통가뭄",531.6,13.1,22.7,31
"정상",779,9.9,1.8,12
"정상",780.4,9.8,4.5,12
"정상",593.5,10.7,5.1,12
"심한습윤",525.9,11.8,4.7,12
"정상",355.7,13.3,10.1,11
"정상",355.7,13.6,11.6,11
"정상",363.9,13.9,19.6,11
"정상",385.9,14,17.6,12
"정상",344.9,14.3,16.9,12
"정상",483.6,14.5,22.1,12
"정상",813.4,14.1,24.3,13
"보통습윤",1176.2,13.4,27,13
"보통습윤",1397.6,12.1,19,13
"보통습윤",1202.9,9.7,-1.5,11
"보통습윤",1196.2,9.7,-0.7,11
"보통습윤",1123.7,9.8,-6,11
"정상",645.5,10.5,-1,11
"정상",394.1,11.3,9.4,11
"정상",391.5,11.3,8.6,11
"정상",195.5,12.6,17.6,11
"정상",231.5,13.5,15,11
"보통습윤",1253.9,10.5,14.5,58
"보통습윤",1210.3,9.7,6.4,24
"정상",804.2,10,-2.7,29
"정상",300.6,12.1,8.4,16
"정상",214.1,13,9.3,35
"정상",600,14.3,23.6,108
"정상",958,13.8,23.8,109
"정상",1201.5,12.5,23.3,109
"정상",1190.3,12.3,22.4,108
"정상",1233.2,11,12.4,108
"정상",1215.6,10.8,11.2,108
"정상",1227,10.2,6.8,108
"정상",1227.4,9.9,8.2,108
"정상",257.7,12.6,4.6,41
"정상",257.7,12.6,5.7,35
"정상",195.5,13.2,13.1,36
"정상",195.1,13.4,18.7,34
"정상",208.1,13.8,16.9,39
"보통가뭄",423.5,14.1,26.2,46
"정상",861,11.5,11.4,44
"정상",891.8,9.7,0.6,68
"정상",891.8,9.8,-0.9,68
"정상",514,10.9,-3.6,68
"심한습윤",503.3,11.5,5.1,68
"정상",241.5,13.1,11.1,68
"정상",250.2,13.9,17.9,68
"정상",273.7,14.8,23.9,68
"정상",1017.7,13.6,25.6,71
"정상",1173.9,11.6,12.6,69
"정상",1173.9,11.3,10.7,69
"정상",1156.5,10.7,8.3,69
"정상",1156.5,10.7,10.6,69
"정상",1120.1,10.1,15.4,71
"정상",1118.1,9.9,2.7,69
"정상",1096.5,9.6,-4.5,68
"정상",975.8,9.9,2.1,68
"정상",442,10.7,0.8,68
"정상",178.2,12.4,12,68
"보통습윤",400.6,14.7,22.6,69
"정상",553.9,14.4,25.7,69
"정상",577.8,14,28.3,69
"정상",577.8,13.9,27.5,69
"약한가뭄",620.4,13.6,24.7,69
"약한가뭄",744.9,11.5,20.7,69
"약한가뭄",733.7,11.1,8.2,69
"심한가뭄",269.5,11,0.9,40
"보통가뭄",125,11.5,10.9,38
"약한가뭄",154.2,12,5.6,53
"정상",195.8,13,14.1,39
"정상",252.2,13.6,16.2,54
"심한습윤",426.2,14.4,17.9,90
"심한습윤",431.7,14.4,18.8,89
"정상",422.2,14.7,23.2,66
"보통습윤",543.3,14.7,24.6,79
"정상",890,13,23.7,57
"정상",989.2,11.2,9.1,55
"정상",927.7,10.2,8.4,71
"정상",905.7,10.1,6.6,69
"정상",819.9,9.6,-5.4,66
"정상",566.4,9.8,2.3,64
"정상",566.4,10,0.3,61
"정상",566.3,10.3,-2.1,55
"정상",583.5,10.4,1.4,65
"정상",570.3,10.7,-1.1,62
"보통습윤",568.8,10.9,-1.2,63
"정상",333.5,11.4,6.5,63
"보통가뭄",149.6,14.4,23.8,54
"보통가뭄",150.3,14.5,18.5,54
"보통가뭄",189.5,14.7,22.3,48
"심한가뭄",206.4,14.6,22.9,26
"보통가뭄",558.4,12.6,23.2,31
"심한가뭄",546.4,12.3,18.8,36
"보통가뭄",637.4,9.7,2.6,107
"약한가뭄",579,9.7,-0.7,107
"정상",505.3,10.3,3.8,107
"정상",251,13.4,7.8,107
"정상",326.9,13.3,16.2,63
"정상",326.9,13.3,17.9,62
"정상",507.8,14.6,21.1,55
"정상",507.8,14.6,22.4,55
"정상",717.9,14,28.3,23
"정상",753.7,13.3,25.4,26
"정상",1199.7,10.3,5.8,86
"정상",1186.9,10.1,-0.6,81
"보통습윤",921.2,10.2,1.5,56
"보통습윤",930.3,10.5,-5.7,55
"심한습윤",952.3,10.8,-2.4,54
"정상",316,12.4,12.8,56
"정상",325.3,12.6,3,55
"정상",965.4,12,17.9,39
"정상",363.9,14,16,360
"정상",510.7,14.6,20.4,360
"보통습윤",1047.2,13.8,24.6,360
"심한습윤",1579,13.5,25.2,360
"심한습윤",1830.6,12.5,18.6,360
"심한습윤",1767.4,10.6,10.3,360
"심한습윤",1568.5,9.9,-13.7,360
"정상",307.5,12.8,9.6,360
"정상",336.6,13.9,12.9,360
"정상",341.6,14,13.5,360
"정상",345,14.3,13.8,360
"정상",427.8,14.6,19.5,360
"정상",937.9,13.2,23.5,360
"정상",1015.3,10.9,7.7,360
"정상",989.4,9.9,2.6,360
"정상",966.1,9.8,2.1,360
"정상",920.2,9.8,5,360
"정상",644.6,9.9,-4.9,360
"정상",642.3,10.3,1.9,360
"정상",235.1,12.1,5.6,360
"정상",239.6,13.1,10.6,360
"정상",267.8,13.7,10.7,360
"약한가뭄",507.2,14.2,22.5,359
"정상",629.3,13.7,24.3,359
"정상",786.2,12.6,18.2,359
"정상",786.6,12.5,22.4,359
"정상",739.4,12.2,15.1,359
"정상",739.1,11.3,10.3,360
"정상",738.1,11.1,12.9,360
"정상",708.1,10.9,9,360
"정상",729.6,9.8,-4,360
"정상",736.7,9.8,-5.7,360
"정상",646.6,14,32,59
"정상",985.5,12.3,21.5,62
"정상",1001,11.8,16.3,64
"정상",1023,11.1,13.4,65
"정상",990.9,10.4,12.5,68
"정상",948.8,9.7,0.5,61
"정상",663.8,9.9,3.9,54
"정상",664.1,10.4,0.4,48
"정상",269.2,12.3,8.1,40
"약한가뭄",218.3,14,20.3,59
"약한가뭄",218.3,14,21.2,59
"보통가뭄",337.7,14.4,22.9,44
"약한가뭄",430.5,14.3,24.7,45
"약한가뭄",430.5,14.2,27.6,47
"약한가뭄",481.6,14,28.8,51
"약한가뭄",498.9,13.8,27.6,49
"보통가뭄",584.3,12.9,25,45
"보통가뭄",589.4,12.8,25.9,45
"정상",755.6,11.5,18.5,58
"보통습윤",436.9,11.9,6.4,30
"정상",304.1,13.8,20.7,30
"정상",298.5,14.2,19.7,30
"정상",318.6,14.6,25.1,30
"정상",431.7,14.6,26,30
"정상",825.5,14.1,25.1,31
"심한습윤",1556.1,12.1,19.5,32
"심한습윤",1540.9,11.8,19.9,32
"심한습윤",1543.8,11.7,14.6,32
"심한습윤",1522.1,10.9,12.4,31
"심한습윤",1500.5,9.8,2.5,31
"심한습윤",1353.7,9.7,1.7,31
"심한습윤",1351.1,9.7,3.4,30
"심한습윤",1356,9.8,1.9,30
"심한습윤",919.5,10.3,3.8,30
"정상",301,11.2,2.1,30
"보통가뭄",172.2,11.8,11,30
"정상",308.6,13.9,16.9,30
"보통습윤",438.5,14.6,23.8,30
"정상",453.5,14.6,23.9,30
"보통습윤",727.5,14.5,26.2,31
"정상",722.1,14,28.8,31
"정상",817.5,13.8,27.6,31
"정상",1231.5,10.7,11.5,31
"정상",753.4,10.3,2.7,30
"정상",267.4,11.5,6.2,30
"정상",272.1,11.9,14.8,30
"정상",222.1,12.2,5.9,30
"정상",224.5,12.8,10.5,30
"정상",1103.9,9.9,5,9
"정상",990.4,9.9,0.7,9
"정상",869.4,9.9,4.3,9
"정상",816.3,9.9,-2.5,9
"정상",458.9,14.5,21.5,10
"정상",899.5,14.3,26.9,11
"정상",1043.5,11,11.5,7
"정상",1043.5,10.9,13.4,7
"정상",948.3,10,4.2,9
"정상",890.1,9.8,4.3,9
"약한가뭄",214.8,13.8,15.3,9
"보통가뭄",215.7,14.3,19.5,8
"심한가뭄",286.1,14.5,25.6,8
"심한가뭄",309,14.4,27,8
"보통가뭄",584.8,13.8,27.6,10
"정상",646.9,9.9,2,8
"정상",419.3,10.5,-0.4,43
"정상",415.2,10.7,-6,42
"정상",415.2,10.7,-3.7,42
"정상",340.9,13.1,12.3,55
"정상",466.6,13.8,15.4,61
"정상",482.6,14.1,17.7,62
"정상",502.3,14.2,18.9,62
"정상",539.2,14.5,23,55
"정상",813.1,14.1,28,25
"정상",1057.6,11.2,11.6,72
"정상",1057.6,11.1,12.9,72
"정상",957.5,10.5,9.9,69
"정상",927.1,9.9,4.6,65
"정상",624.1,10,2.6,63
"정상",619,10.1,1.9,60
"약한가뭄",236.3,13.3,16.8,49
"정상",332.5,14.1,17.9,54
"정상",1104.5,9.8,6.4,0
"정상",699.7,10.6,2.6,0
"정상",699.7,10.7,0.2,0
"보통가뭄",581.2,12.8,24.4,28
"약한가뭄",743.2,11.2,16.7,68
"약한가뭄",689.9,10.5,6.8,67
"정상",768.4,10.1,2,79
"정상",762.4,10.1,9.9,77
"정상",760.8,9.8,-4.4,45
"정상",700.9,9.7,1.2,45
"정상",764.7,9.8,8.6,45
"정상",659.5,10.1,2.4,45
"정상",575.9,10.9,-3.2,45
"정상",230.4,12.3,14.4,0
"정상",384,13.7,18.2,0
"보통가뭄",596.3,13.9,27.5,0
"약한가뭄",626.8,13.6,27.7,0
"약한가뭄",859.8,12.5,24.7,0
"약한가뭄",798.7,11.2,12.6,0
"약한가뭄",794.7,11.1,16.9,0
"보통가뭄",610.1,10.6,13,0
"정상",656.9,10,6.9,1
"보통습윤",1230.5,13.6,29.2,45
"정상",1372.7,11.3,11.4,44
"보통습윤",1359.9,10.7,12.6,44
"보통습윤",1353.7,10.5,8.1,44
"보통습윤",1327.2,10.4,8.7,44
"보통습윤",1324.3,10.1,6.6,44
"정상",525.4,10.6,5.8,44
"정상",314.2,11.3,8.9,44
"정상",260.5,11.4,7.4,44
"약한가뭄",182,12.6,14.3,44
"정상",532.7,14.5,26.4,45
"정상",552.8,14.2,29.9,45
"정상",849.2,12.5,23.9,45
"정상",876.2,11.3,18.6,45
"정상",539.6,10.3,0.3,44
"정상",539.9,10.4,-0.5,44
"정상",467.7,10.7,2.9,44
"정상",410.3,11.1,-2.2,44
"정상",298.1,11.3,5,44
"약한가뭄",198.9,11.5,7,44
"보통가뭄",170.7,12.2,6.9,44
"약한가뭄",169.6,12.3,12.6,44
"보통가뭄",178.8,14.1,15.5,44
"정상",894.3,10.1,2.3,137
"정상",394.8,14.2,21.3,137
"약한가뭄",520.6,14.4,27.4,137
"약한가뭄",520.6,14.4,27.8,137
"정상",591.7,14.3,28.1,37
"약한가뭄",587.1,13.5,23,39
"정상",850.4,12.1,14.4,51
"정상",882.8,11,9.1,58
"정상",888.2,10.7,6.2,73
"정상",618.7,9.9,0.5,74
"정상",625.6,10.4,-1,71
"약한가뭄",652.8,14.1,24.9,137
"정상",912.6,9.9,5.7,137
"정상",904.5,9.8,4.4,137
"정상",467.2,10.3,-1.9,65
"정상",370.1,11,0.9,58
"정상",326.2,11.6,2.8,72
"정상",345.1,11.8,5.6,77
"정상",642.4,10.7,0.1,62
"정상",304.6,11.6,7.5,59
"정상",306.4,12,6.4,58
"정상",282.6,12.6,5.8,58
"정상",177.8,13,10.2,60
"약한가뭄",177.8,13.2,11.7,53
"정상",301.5,14.6,20.5,54
"정상",398.1,14.5,23.1,37
"정상",1091.9,11.7,19.9,90
"정상",1057.3,11.1,14.5,50
"정상",702.9,10.3,-5,87
"정상",476.3,12.7,10.1,73
"정상",473.8,13,14.7,73
"정상",497.4,13.3,17.3,73
"보통습윤",1073.8,14.5,21.2,73
"정상",1363.6,13,26.9,63
"정상",1438.6,12.3,23.4,69
"정상",1556.3,10.8,10.6,88
"정상",1205,9.9,-1.2,87
"보통습윤",962.5,10.9,3.6,32
"보통습윤",721.5,11.5,10.7,1
"보통습윤",591.5,12.1,13,1
"보통습윤",566.5,12.5,11.6,1
"정상",594.7,14.5,22.8,54
"정상",1347.8,13.6,27.9,62
"정상",1543.7,12.7,26.3,65
"보통습윤",1935.8,11.7,22.3,98
"보통습윤",1822.6,10.7,14.7,82
"보통습윤",1842.6,10.3,13.2,81
"보통습윤",1000.9,11,4.6,81
"심한습윤",815.1,11.9,7.3,81
"정상",401.4,12.6,12.8,81
"정상",393.9,12.7,8.7,81
"정상",390.1,12.8,13.7,81
"정상",721.4,14.5,22.7,81
"정상",733.5,14.5,21.5,81
"정상",955.1,14.5,21.9,82
"정상",1210.8,14.2,21.6,82
"보통습윤",1393.1,14,25.2,82
"보통습윤",1498.6,13.7,26.8,82
"정상",1582.7,13.1,27.3,82
"보통습윤",1656.2,10.2,10.4,81
"보통습윤",1652.5,10,5,81
"정상",1302.9,9.9,0.7,81
"정상",776.7,10.3,8.3,81
"정상",570.9,11.1,-1.7,81
"정상",570.9,11.1,4.7,81
"정상",412.7,12.4,15.3,81
"정상",412.7,12.5,13.2,82
"정상",520.4,13,12.6,81
"정상",522.4,13.3,17.2,81
"정상",650.7,14.4,21.1,81
"정상",1234.4,14.1,26.8,82
"정상",1194.8,13.9,28.1,82
"정상",1625,13.1,25.8,83
"정상",1592.1,12.4,21,82
"정상",1508.8,11,13.1,82
"정상",1413.6,10.6,15.7,81
"정상",1363.8,10.1,6.3,81
"정상",1343.3,9.9,9.3,81
"정상",741.8,10.5,1.4,81
"정상",367.2,13.5,13,81
"정상",367.2,13.8,17,81
"약한가뭄",336.2,14,18.7,78
"보통가뭄",320.4,14.4,21.2,80
"보통가뭄",634.7,14.1,25.4,81
"약한가뭄",751.5,13.8,29,81
"약한가뭄",751.5,13.7,28.8,81
"정상",1098.2,11.5,14.5,81
"정상",1012.4,10,1.1,81
"정상",289.4,10.7,-6,42
"정상",225.2,12.7,12.2,33
"정상",385.6,14.3,20.8,16
"정상",580.8,14.5,26,68
"정상",647.8,14.5,23.4,63
"정상",693.9,13.4,23.8,46
"정상",968.7,12.5,21.8,53
"정상",1000.5,10.6,11.7,73
"정상",938.6,10.1,0.5,62
"정상",930.6,9.8,3.8,59
"정상",681.1,9.9,2.4,59
"보통습윤",651.2,10.8,0.8,56
"약한가뭄",189.6,14.1,21.7,22
"정상",1077.4,12.8,26,64
"정상",1136.1,11.8,18.6,64
"정상",1105.4,10.9,12.4,64
"정상",927.2,9.8,-3.7,64
"보통습윤",917.2,9.9,-8.9,64
"정상",755.9,10.1,-0.7,64
"정상",551.2,10.5,7.8,64
"정상",258.5,11.7,6.5,64
"정상",322.3,13.7,12.3,64
"정상",341.3,13.7,15.9,64
"정상",708.9,14,28.6,64
"정상",729,13.5,24.1,64
"정상",901.9,11.4,19.2,64
"정상",909.5,11.2,9.2,64
"정상",898.3,10.4,8.2,64
"정상",969.4,10.2,4.4,80
"정상",961.6,10.1,12.8,72
"정상",639.2,10.2,1.2,64
"정상",627.9,10.4,6.8,64
"심한습윤",488.5,11.6,4.8,64
"심한습윤",493.7,12.2,12,64
"정상",247.2,12.8,14.3,64
"정상",304,14,18.8,64
"정상",277.8,14.4,22,64
"약한가뭄",161.9,11.8,9.1,64
"정상",198.3,12.4,9.3,64
"심한가뭄",114.5,13.4,21.2,64
"심한가뭄",199.4,14.6,25.7,64
"약한가뭄",331.2,14.5,26.8,64
"정상",735.1,11.7,18.1,64
"정상",686.1,10.3,9,64
"정상",1061.1,10.3,15.6,121
"정상",300.3,13.4,11,83
"정상",973.1,9.9,5.5,52
"정상",973.1,9.9,0.6,246
"정상",834.3,9.8,-0.3,246
"정상",693.1,10.4,3.9,246
"정상",676.6,10.7,-0.4,246
"정상",310.2,14.2,17.3,246
"정상",471.8,14.6,20.3,246
"정상",476.2,14.5,19.1,246
"정상",769.4,10.1,7.4,27
"정상",750,10.8,-0.6,29
"정상",657.8,11.1,6.8,28
"보통습윤",644.8,11.5,4.6,54
"심한습윤",1487,12.8,19.2,247
"보통습윤",1427.5,10.3,9.1,246
"보통습윤",1437.5,10,2.9,246
"보통습윤",1259.7,9.8,-2.6,246
"정상",297.3,11.2,3.8,246
"정상",375.3,11.8,10.3,55
"정상",517.3,12.1,10.9,65
"보통습윤",508.3,12.5,13.1,55
"보통습윤",855.9,14,21.7,66
"심한습윤",951.9,14.2,21.2,62
"보통습윤",961.2,14.4,19.8,76
"약한가뭄",235.9,14.6,21.4,41
"보통가뭄",290.8,14.5,21.5,19
"정상",759.9,11.5,18.3,68
"정상",758.4,11.3,15,62
"정상",705.3,10.8,11.3,100
"정상",705.3,10.6,14.1,53
"정상",775.9,10,4.7,57
"정상",788.3,9.9,6.2,55
"정상",753.7,9.8,4.7,11
"정상",800.3,9.9,2.1,12
"정상",600,10.7,0.3,11
"정상",753.2,14.2,23.2,13
"심한습윤",1351.4,12.9,23.2,13
"심한습윤",1437.2,10.8,13.8,12
"심한습윤",1430.2,10.5,9.7,12
"심한습윤",1201.9,9.8,-2.3,11
"심한습윤",1200.6,9.9,-2.1,11
"약한가뭄",170.8,11.9,9.8,11
"정상",238.8,13.7,10.7,11
"정상",238.3,13.8,15.1,11
"정상",415.4,14.6,23.9,11
"정상",637,14.1,28.4,11
"정상",675.7,13.5,26.1,11
"정상",718.1,13.3,25.5,11
"정상",754.6,9.7,7.4,11
"정상",490.2,10.3,0.6,11
"정상",490.2,10.3,-0.6,11
"보통가뭄",188.6,14.5,23.4,11
"보통가뭄",228.6,14.6,24.7,11
"정상",787.1,11.3,17.1,12
"정상",818.2,9.9,-1,11
"정상",809.7,9.7,-4.5,11
"정상",416,10.1,1.2,22
"정상",359,10.8,-4.4,11
"정상",304.5,13.1,8.4,63
"정상",965.7,9.8,-1.7,20
"정상",964.9,9.9,-2.8,20
"정상",509.6,10.5,1.7,20
"보통가뭄",174.7,11.7,4.5,20
"약한가뭄",197,11.9,11.5,20
"약한가뭄",209.5,13,16.1,20
"정상",292.9,13.6,12.8,20
"정상",268,13.9,20.1,20
"약한가뭄",266.9,14.1,18.2,20
"정상",849.6,12.8,23.7,64
"정상",856.6,10.3,6.1,52
"정상",849,10.1,5.8,51
"정상",630.6,10.4,2.6,22
"보통습윤",430.2,11.9,6.7,51
"보통습윤",391.1,12.3,4.6,51
"약한가뭄",645,10.2,9.1,20
"약한가뭄",659.4,10,1,20
"정상",293.1,14.3,15.9,71
"약한가뭄",271.5,14.4,22.1,71
"정상",772,12.6,25.2,72
"정상",920.2,9.9,2.2,11
"정상",918.9,9.9,10.5,11
"약한가뭄",208.4,13,7.6,11
"정상",237.4,13.3,9.3,11
"정상",237.4,13.3,8.7,11
"정상",624.9,14.3,23.4,11
"정상",876.9,13.8,27.6,11
"보통습윤",1281.7,12,20.2,11
"정상",963.6,9.9,-3.9,11
"정상",597.7,10.3,8.4,11
"정상",552.9,10.3,6,11
"약한가뭄",294.7,11.7,7.4,11
"약한가뭄",211.1,11.8,9.2,11
"약한가뭄",202.4,12,9.2,11
"정상",244.7,12.4,14.4,11
"정상",247.2,13.4,14.6,11
"정상",478.5,14.5,22.7,11
"정상",478.5,14.5,24.3,11
"심한습윤",974.8,14.4,25.8,12
"보통습윤",979.1,14.2,26.7,11
"보통습윤",969.7,14,27.3,11
"정상",1100,13,25,11
"정상",1068.5,11.4,20.4,11
"정상",919.7,9.8,1.6,11
"정상",921.9,9.9,-3.9,11
"약한가뭄",414.8,10,-1.6,11
"정상",222.7,12,10,11
"정상",233.1,12.7,7.5,11
"약한가뭄",231.6,13.6,11.7,11
"약한가뭄",231.6,13.7,16.1,11
"보통가뭄",407.7,13.9,26.5,11
"보통가뭄",431.4,13.6,27.7,11
