"행정구역","SPI6","가뭄","계절","누적강수량","가조시간","평균기온","합계일조시간","평균상대습도","평균지면온도","수위","저수량","방류량","강유역","댐"
"경상남도",0.059,"정상","봄",294.7,13,12.4,0.5,39,12.9,87,148.13,72.13,"낙동강","남강"
"전라남도",-0.413,"정상","봄",259,13,14,1.6,42.1,14.9,62,46.39,1.97,"영섬","장흥"
"경상남도",0.325,"정상","봄",428.1,13,13.3,1.6,50.3,13.8,64,8.19,0.28,"낙동강","구천"
"경상남도",0.325,"정상","봄",428.1,13,13.3,1.6,50.3,13.8,64,4.01,0.15,"낙동강","연초"
"경상남도",0.276,"정상","봄",233.7,13,13,2.9,40.6,15.3,63,261.05,2,"낙동강","합천"
"광주광역시",-0.5,"정상","봄",255.6,13,14.8,0.2,33,13.3,77,3.72,0.34,"영섬","평림"
"전라북도",0.131,"정상","봄",279.8,13,13.5,0.1,45.6,14.1,54,18.74,0.79,"영섬","부안"
"충청남도",0.148,"정상","봄",247.9,13,13.5,0.5,44.4,12,68,39.95,3.17,"금강","보령"
"경상남도",-0.006,"정상","봄",223.7,13,13.7,3.5,30.1,15.1,34,25.04,0.87,"낙동강","밀양"
"경상북도",0.245,"정상","봄",209.6,13,11.9,6.4,43,14.4,54,4.85,0.2,"낙동강","보현산"
"경상북도",0.245,"정상","봄",209.6,13,11.9,6.4,43,14.4,54,52.77,7.53,"낙동강","영천"
"경상북도",0.415,"정상","봄",242.4,13.1,11.2,4.9,40.3,15.5,46,0.35,2.29,"낙동강","영주"
"전라북도",-0.18,"정상","봄",309.7,13,10.9,1.1,44.3,10.8,62,370.61,12.76,"영섬","용담"
"전라북도",-0.074,"정상","봄",327.2,13.1,8.6,0,83.5,9.3,70,371.91,12.74,"영섬","용담"
"경상북도",0.585,"정상","봄",234.6,13.1,10.6,0,80.9,10.8,64,4.87,0.2,"낙동강","보현산"
"경상북도",0.585,"정상","봄",234.6,13.1,10.6,0,80.9,10.8,64,52.9,7.45,"낙동강","영천"
"경상남도",0.282,"정상","봄",247.7,13,11,0,83,11.9,34,25.17,0.76,"낙동강","밀양"
"경상북도",0.697,"정상","봄",269.9,13.1,8.2,0,79.9,10.3,51,0.37,2.2,"낙동강","영주"
"전라북도",0.473,"정상","봄",309.8,13.1,8.6,0,84.9,10.3,59,18.95,0.72,"영섬","부안"
"강원도",0.054,"정상","봄",188.4,13.1,8.6,0.1,86.5,9.9,44,54.28,1.8,"한강","횡성"
"경상남도",0.344,"정상","봄",329.5,13,10.2,0,78.3,11.1,92,148.39,74.38,"낙동강","남강"
"대구광역시",0.499,"정상","봄",222.2,13.1,10.5,0,81.5,11.4,72,16.88,0.33,"낙동강","군위"
"전라남도",-0.047,"정상","봄",289.2,13,11.3,0,86.4,12.3,64,46.84,1.81,"영섬","장흥"
"경상남도",0.536,"정상","봄",258.2,13,9.7,0.2,78.9,11.9,65,262.57,2.06,"낙동강","합천"
"충청남도",0.392,"정상","봄",269.1,13.1,8.7,0,93,9.8,75,40.26,2.92,"금강","보령"
"경상남도",0.696,"정상","봄",487.1,13,12.3,0,95.8,12.3,71,8.24,0.25,"낙동강","구천"
"경상남도",0.696,"정상","봄",487.1,13,12.3,0,95.8,12.3,71,4.07,0.14,"낙동강","연초"
"광주광역시",-0.175,"정상","봄",277.7,13,10.9,0,92.5,10.8,78,3.77,0.35,"영섬","평림"
"충청북도",0.419,"정상","봄",249.2,13.1,8.8,0,81.5,10,79,1061.71,39.4,"금강","대청"
"경상북도",0.414,"정상","봄",230.1,13.1,9.1,0,89.1,10.4,58,505.09,0,"낙동강","안동"
"경상북도",0.414,"정상","봄",230.1,13.1,9.1,0,89.1,10.4,58,287.03,26.31,"낙동강","임하"
"광주광역시",-0.195,"정상","봄",277.7,13.1,10.1,10.4,67.8,12.8,78,3.79,0.35,"영섬","평림"
"강원도",0.016,"정상","봄",188.4,13.2,9.6,8.2,64.9,12,46,54.46,1.83,"한강","횡성"
"경상남도",0.335,"정상","봄",329.5,13.1,13.1,11.2,43.8,15.3,91,154.71,74.53,"낙동강","남강"
"전라북도",-0.083,"정상","봄",327.2,13.1,7.5,10.1,66.5,12.2,69,372.99,12.66,"영섬","용담"
"전라북도",0.462,"정상","봄",309.8,13.1,8.5,10,73.9,12.8,58,19.13,0.76,"영섬","부안"
"충청남도",0.372,"정상","봄",269.1,13.1,7.5,9.9,88.1,12.5,75,40.54,2.98,"금강","보령"
"경상남도",0.646,"정상","봄",487.1,13.1,13.5,11.2,58.5,14.9,66,8.29,0.29,"낙동강","구천"
"경상남도",0.646,"정상","봄",487.1,13.1,13.5,11.2,58.5,14.9,66,4.11,0.15,"낙동강","연초"
"전라남도",-0.443,"정상","여름",661.5,14.2,27.1,6.2,81.4,33,44,58.92,2.99,"영섬","장흥"
"경상북도",0.5,"정상","여름",596.3,14.3,30.1,12.1,63.6,35.9,60,11.48,0.34,"낙동강","보현산"
"경상북도",0.5,"정상","여름",596.3,14.3,30.1,12.1,63.6,35.9,60,71.58,8.5,"낙동강","영천"
"경상남도",-0.137,"정상","여름",627.4,14.3,29.9,11.9,69.3,39.6,66,51.1,2.65,"낙동강","밀양"
"경상남도",0.406,"정상","여름",715.5,14.3,29.5,10.6,67.9,39.2,44,376.76,9.08,"낙동강","합천"
"경상남도",1.323,"보통습윤","여름",1511.6,14.2,28.4,12.5,81.5,35,19,9.24,0.35,"낙동강","구천"
"경상남도",1.323,"보통습윤","여름",1511.6,14.2,28.4,12.5,81.5,35,19,4.37,0.2,"낙동강","연초"
"경상남도",0.293,"정상","여름",875.3,14.3,27.9,11.6,69.1,36.5,78,121.89,40.27,"낙동강","남강"
"경상북도",0.68,"정상","여름",779.5,14.4,27.4,13.2,66.5,38.3,20,0.33,1.84,"낙동강","영주"
"대구광역시",0.692,"정상","여름",625.6,14.3,30.7,9.1,56.6,37.7,25,31.48,0.84,"낙동강","군위"
"전라북도",0.051,"정상","여름",719.9,14.3,26.3,8.1,76.3,34.8,26,489.43,12.83,"영섬","용담"
"충청북도",0.457,"정상","여름",669.8,14.4,29.2,12.6,60.9,33.7,61,912.52,39.38,"금강","대청"
"대구광역시",0.683,"정상","여름",625.6,14.3,31,9.1,58.6,36.8,24,31.42,0.87,"낙동강","군위"
"강원도",0.755,"정상","여름",788.8,14.5,27.4,10.5,71,33.1,17,51.65,3.57,"한강","횡성"
"전라북도",0.686,"정상","여름",731.3,14.3,27.5,12,72.1,37.4,59,31.09,0.89,"영섬","부안"
"충청남도",0.698,"정상","여름",693.2,14.3,26.9,9.5,89.3,35.2,17,74.35,3.61,"금강","보령"
"전라북도",0.017,"정상","여름",719.9,14.3,26.9,7.6,76,32.6,26,489.17,12.88,"영섬","용담"
"경상북도",0.647,"정상","여름",779.5,14.4,27.7,13.2,66.1,38.8,18,0.32,1.58,"낙동강","영주"
"경상남도",1.312,"보통습윤","여름",1511.6,14.2,29,12.7,77.3,35.1,19,9.21,0.36,"낙동강","구천"
"경상남도",1.312,"보통습윤","여름",1511.6,14.2,29,12.7,77.3,35.1,19,4.35,0.2,"낙동강","연초"
"광주광역시",-0.163,"정상","여름",658.6,14.2,29.5,10.6,73.3,36,59,6.18,0.4,"영섬","평림"
"경상남도",-0.159,"정상","여름",627.4,14.3,30,11.6,71.9,39.4,64,50.89,2.53,"낙동강","밀양"
"경상북도",0.486,"정상","여름",596.3,14.3,30.3,11.8,64.6,35.7,58,11.45,0.34,"낙동강","보현산"
"경상북도",0.486,"정상","여름",596.3,14.3,30.3,11.8,64.6,35.7,58,71.14,7.96,"낙동강","영천"
"경상남도",0.375,"정상","여름",715.5,14.3,29.5,11.8,67,40.1,46,376.28,9.37,"낙동강","합천"
"경상남도",0.277,"정상","여름",875.3,14.2,28.1,12.4,67.4,37.9,81,119.98,40.3,"낙동강","남강"
"전라남도",-0.497,"정상","여름",661.5,14.2,27.9,7.3,78.3,37.1,45,58.64,3.04,"영섬","장흥"
"경상북도",0.324,"정상","여름",561.2,14.4,29.9,12.8,66.1,38.7,36,696.07,6.04,"낙동강","안동"
"경상북도",0.324,"정상","여름",561.2,14.4,29.9,12.8,66.1,38.7,36,380.89,41.82,"낙동강","임하"
"경상북도",0.317,"정상","여름",561.2,14.3,30.2,12,66.8,38.7,35,696.45,6.09,"낙동강","안동"
"경상북도",0.317,"정상","여름",561.2,14.3,30.2,12,66.8,38.7,35,377.65,41.87,"낙동강","임하"
"경상남도",0.278,"정상","여름",875.3,14.2,28.6,12.3,67,38.1,84,117.85,40.3,"낙동강","남강"
"전라북도",0.686,"정상","여름",731.3,14.3,28.1,12.6,73.3,37.4,60,31.02,0.91,"영섬","부안"
"충청남도",0.698,"정상","여름",693.2,14.3,27.2,9.6,87.6,35.5,20,74.13,3.87,"금강","보령"
"전라북도",0.016,"정상","여름",719.9,14.3,27.3,10.2,71.5,38.2,26,489.17,15.24,"영섬","용담"
"전라남도",-0.508,"정상","여름",661.5,14.2,27.8,8.6,77.3,35.3,43,58.41,3.09,"영섬","장흥"
"경상북도",0.618,"정상","여름",779.5,14.4,28,12.7,70.1,39.9,17,0.31,1.23,"낙동강","영주"
"충청남도",0.819,"정상","봄",343.6,13.9,14.3,11.7,75.9,19.9,41,46.98,3.21,"금강","보령"
"경상북도",1.115,"보통습윤","봄",328.4,13.9,11.2,8.7,73.1,16.4,57,591.02,34.94,"낙동강","안동"
"경상북도",1.115,"보통습윤","봄",328.4,13.9,11.2,8.7,73.1,16.4,57,343.27,3.64,"낙동강","임하"
"충청북도",0.821,"정상","봄",324.4,13.9,16.1,12.6,53.3,18.7,85,1045.41,102.21,"금강","대청"
"경상남도",1.267,"보통습윤","봄",778.4,13.8,14.1,8.4,70.3,17.5,65,9.37,0.63,"낙동강","구천"
"경상남도",1.267,"보통습윤","봄",778.4,13.8,14.1,8.4,70.3,17.5,65,4.47,0.22,"낙동강","연초"
"경상남도",0.55,"정상","봄",334.7,13.9,14.1,6.6,52.5,18.7,12,29.82,1.04,"낙동강","밀양"
"전라북도",0.999,"정상","봄",409.8,13.9,14.3,10.1,68,18.7,63,21.45,0.78,"영섬","부안"
"충청북도",0.799,"정상","봄",324.4,14,16.5,9.9,63,19.2,85,1042.41,93.2,"금강","대청"
"강원도",0.851,"정상","봄",301.7,14,14.5,11,63.8,19.1,47,54.87,3.61,"한강","횡성"
"경상남도",0.383,"정상","봄",425.7,13.9,15.8,11.2,64.8,20.3,92,151.01,74.57,"낙동강","남강"
"충청남도",0.819,"정상","봄",343.6,14,12.9,7.6,93.1,19.5,39,46.89,3.03,"금강","보령"
"전라북도",0.253,"정상","봄",449.9,13.9,14.8,10.8,66.4,20.5,78,400.41,12.7,"영섬","용담"
"경상북도",1.401,"보통습윤","봄",420.4,14,15.7,10.9,53.6,23.6,35,0.39,3.84,"낙동강","영주"
"경상남도",0.531,"정상","봄",334.7,13.9,16.6,11,59.1,21.8,13,29.95,1.02,"낙동강","밀양"
"대구광역시",0.995,"정상","봄",306.7,13.9,17.6,10.4,51.4,23.5,52,17.53,0.41,"낙동강","군위"
"전라북도",0.983,"정상","봄",409.8,13.9,13.7,9.2,78.8,20.2,64,21.45,0.8,"영섬","부안"
"광주광역시",0.36,"정상","봄",369.2,13.9,17,9,75.3,22.2,83,4.48,0.36,"영섬","평림"
"경상북도",1.042,"보통습윤","봄",316.9,13.9,16.4,9.3,56.9,19.4,58,5.11,0.19,"낙동강","보현산"
"경상북도",1.042,"보통습윤","봄",316.9,13.9,16.4,9.3,56.9,19.4,58,56.33,7.51,"낙동강","영천"
"경상남도",1.26,"보통습윤","봄",778.4,13.9,16.4,11.1,72.6,21,65,9.36,0.44,"낙동강","구천"
"경상남도",1.26,"보통습윤","봄",778.4,13.9,16.4,11.1,72.6,21,65,4.45,0.19,"낙동강","연초"
"전라남도",0.152,"정상","봄",386,13.8,15.9,11,75.9,19.7,77,54.95,2.01,"영섬","장흥"
"경상남도",1.069,"보통습윤","봄",377.7,13.9,17.4,11.6,54.9,23.8,59,300.95,5.01,"낙동강","합천"
"경상북도",1.094,"보통습윤","봄",328.4,14,15.8,9.9,62,20.9,56,590.68,32.5,"낙동강","안동"
"경상북도",1.094,"보통습윤","봄",328.4,14,15.8,9.9,62,20.9,56,344.21,6.03,"낙동강","임하"
"전라북도",0.969,"정상","봄",406.8,13.9,16.3,7.2,65,22.7,66,21.47,0.77,"영섬","부안"
"충청남도",0.809,"정상","봄",340.9,14,14.4,7.2,80.9,21.4,39,46.72,3.02,"금강","보령"
"전라북도",0.238,"정상","봄",448.9,13.9,14.6,11,60,20.7,77,400.86,12.72,"영섬","용담"
"전라남도",0.078,"정상","봄",386,13.9,15.6,11.5,72.1,19.2,76,55.01,1.97,"영섬","장흥"
"경상남도",1.229,"보통습윤","봄",778.4,13.9,17.4,10.9,67.9,21,65,9.36,0.43,"낙동강","구천"
"경상남도",1.229,"보통습윤","봄",778.4,13.9,17.4,10.9,67.9,21,65,4.45,0.2,"낙동강","연초"
"경상북도",0.978,"정상","봄",316.9,14,18.7,11.3,49.4,22,57,5.12,0.23,"낙동강","보현산"
"경상북도",0.978,"정상","봄",316.9,14,18.7,11.3,49.4,22,57,56.23,7.53,"낙동강","영천"
"강원도",0.836,"정상","봄",296.7,14.1,15.7,6.5,64.4,19.5,47,54.68,3.7,"한강","횡성"
"경상남도",1.027,"보통습윤","봄",377.7,13.9,17.6,9.7,55.5,24.1,57,301.64,5.01,"낙동강","합천"
"경상북도",1.369,"보통습윤","봄",417.9,14,17.2,11,48.8,26.9,34,0.37,3.22,"낙동강","영주"
"경상북도",1.096,"보통습윤","봄",328.4,14,18.1,10.4,49.9,22.8,56,590.35,28.56,"낙동강","안동"
"경상북도",1.096,"보통습윤","봄",328.4,14,18.1,10.4,49.9,22.8,56,344.59,10.07,"낙동강","임하"
"광주광역시",0.299,"정상","봄",368.8,13.9,17.8,10.6,59.9,21.8,83,4.48,0.35,"영섬","평림"
"대구광역시",0.952,"정상","봄",306.7,13.9,19.7,11.3,46.5,25,50,17.54,0.4,"낙동강","군위"
"충청북도",0.782,"정상","봄",321.4,14,17.1,7.4,57.3,19.8,85,1038.21,101.92,"금강","대청"
"전라남도",-0.299,"정상","여름",420.2,14.4,22,9.2,76,29.4,57,53,3.95,"영섬","장흥"
"경상남도",0.007,"정상","여름",477.5,14.5,22.7,4.6,59.9,28.3,67,122.61,38.91,"낙동강","남강"
"경상북도",1.059,"보통습윤","여름",385.6,14.6,20.4,9.8,62.5,29.7,19,571.97,33.03,"낙동강","안동"
"경상북도",1.059,"보통습윤","여름",385.6,14.6,20.4,9.8,62.5,29.7,19,322.34,26.04,"낙동강","임하"
"전라북도",0.949,"정상","여름",438.7,14.5,22,5.2,76.9,29.3,68,21.16,0.96,"영섬","부안"
"경상북도",1.025,"보통습윤","여름",385.6,14.6,18.5,0.1,68.4,24.1,18,569.48,32.96,"낙동강","안동"
"경상북도",1.025,"보통습윤","여름",385.6,14.6,18.5,0.1,68.4,24.1,18,320.17,26.04,"낙동강","임하"
"충청북도",0.743,"정상","여름",373.2,14.6,21.5,7.2,56.1,26.8,63,927.57,84.34,"금강","대청"
"대구광역시",1.027,"보통습윤","여름",369.2,14.5,18.7,2,71.5,24.2,31,17.05,0.76,"낙동강","군위"
"전라북도",0.347,"정상","여름",496.4,14.5,19.6,4.3,65.9,30,57,398.36,12.83,"영섬","용담"
"전라북도",0.903,"정상","여름",438.7,14.5,21.9,3.2,69.8,27.6,68,21.08,1,"영섬","부안"
"충청남도",0.951,"정상","여름",409.9,14.6,21.1,3,83.6,24.8,26,50.57,3.36,"금강","보령"
"전라남도",-0.306,"정상","여름",422.1,14.4,20.4,0.5,80,24.7,57,52.73,4.02,"영섬","장흥"
"경상북도",0.802,"정상","여름",365.6,14.6,18.6,0.5,70.6,21.9,70,4.93,0.28,"낙동강","보현산"
"경상북도",0.802,"정상","여름",365.6,14.6,18.6,0.5,70.6,21.9,70,48.94,9.03,"낙동강","영천"
"경상남도",0.23,"정상","여름",388.2,14.5,20,0.4,64.1,24.3,70,30.6,1.29,"낙동강","밀양"
"경상남도",1.408,"보통습윤","여름",964.2,14.5,19.8,1.3,87.1,23.1,74,9.15,0.29,"낙동강","구천"
"경상남도",1.408,"보통습윤","여름",964.2,14.5,19.8,1.3,87.1,23.1,74,4.38,0.04,"낙동강","연초"
"강원도",1.826,"심한습윤","여름",502,14.7,20.8,1.9,59.1,26.5,29,64.47,8.36,"한강","횡성"
"경상남도",-0.024,"정상","여름",478.9,14.5,19.6,0,68.5,22.9,65,119.98,38.71,"낙동강","남강"
"광주광역시",0.264,"정상","여름",417.4,14.5,22,2.3,73.8,28.9,75,4.33,0.37,"영섬","평림"
"경상남도",0.786,"정상","여름",417.7,14.5,20.1,0.9,62.8,27.1,43,302.47,7.98,"낙동강","합천"
"경상북도",1.313,"보통습윤","여름",492.9,14.6,18.4,0.6,64.3,27.7,10,0.28,0.37,"낙동강","영주"
"광주광역시",0.331,"정상","여름",421.8,14.5,20.6,0.7,89.6,22.7,76,4.31,0.36,"영섬","평림"
"전라북도",0.892,"정상","여름",436.7,14.5,21.5,3.3,72.3,28.7,67,21,0.91,"영섬","부안"
"경상남도",1.584,"심한습윤","여름",1014.8,14.5,18,0,97.4,19.8,77,9.3,0.32,"낙동강","구천"
"경상남도",1.584,"심한습윤","여름",1014.8,14.5,18,0,97.4,19.8,77,4.43,0.04,"낙동강","연초"
"경상남도",0.965,"정상","여름",440.1,14.5,17.8,0.6,80.8,21.3,46,302.05,8.01,"낙동강","합천"
"경상남도",0.169,"정상","여름",510,14.5,17.7,0.4,82.8,20,77,118.32,38.78,"낙동강","남강"
"경상북도",1.28,"보통습윤","여름",491.9,14.7,16.9,0.4,73.1,21.1,10,0.28,0.34,"낙동강","영주"
"경상북도",1.013,"보통습윤","여름",382.6,14.6,17,0.2,79.8,19.4,75,4.93,0.27,"낙동강","보현산"
"경상북도",1.013,"보통습윤","여름",382.6,14.6,17,0.2,79.8,19.4,75,48.63,6.93,"낙동강","영천"
"경상북도",1.035,"보통습윤","여름",387.9,14.6,17.2,0.2,77.3,20.8,18,567.33,33.08,"낙동강","안동"
"경상북도",1.035,"보통습윤","여름",387.9,14.6,17.2,0.2,77.3,20.8,18,318.19,24.73,"낙동강","임하"
"전라북도",0.407,"정상","여름",505.9,14.5,16.8,0.5,87.3,22.5,65,397.67,12.82,"영섬","용담"
"경상북도",0.673,"정상","봄",269.9,13.1,10,8.6,57,12.5,50,0.43,4.1,"낙동강","영주"
"경상남도",0.266,"정상","봄",247.7,13.1,13.7,10.5,45.4,15.9,34,25.5,0.78,"낙동강","밀양"
"충청북도",0.404,"정상","봄",249.2,13.1,10,9.9,63.6,12.5,79,1064.75,39.6,"금강","대청"
"경상북도",0.41,"정상","봄",230.1,13.1,11.2,10,56.6,13.5,58,511.98,0,"낙동강","안동"
"경상북도",0.41,"정상","봄",230.1,13.1,11.2,10,56.6,13.5,58,288.89,26.35,"낙동강","임하"
"대구광역시",0.486,"정상","봄",222.2,13.1,12.8,9.9,50.1,15.8,72,17,0.33,"낙동강","군위"
"전라남도",-0.061,"정상","봄",289.2,13.1,10.3,11,64.9,12.4,64,47.24,1.82,"영섬","장흥"
"경상북도",0.569,"정상","봄",234.6,13.1,12.7,10.2,50,13.6,63,4.9,0.2,"낙동강","보현산"
"경상북도",0.569,"정상","봄",234.6,13.1,12.7,10.2,50,13.6,63,53.46,7.47,"낙동강","영천"
"경상남도",0.526,"정상","봄",258.2,13.1,13,11,42.3,16,65,263.96,1.99,"낙동강","합천"
"경상북도",0.388,"정상","봄",230.1,13.2,11.2,11.3,59.1,14.8,57,517.47,0,"낙동강","안동"
"경상북도",0.388,"정상","봄",230.1,13.2,11.2,11.3,59.1,14.8,57,289.74,26.88,"낙동강","임하"
"충청북도",0.381,"정상","봄",249.2,13.2,11.9,11.3,54.3,13.8,78,1067.79,39.21,"금강","대청"
"대구광역시",0.464,"정상","봄",222,13.1,12.2,10.5,57,17.3,70,17.08,0.56,"낙동강","군위"
"광주광역시",-0.198,"정상","봄",274.6,13.1,11.6,8,61.5,13.1,78,3.8,0.35,"영섬","평림"
"전라북도",0.439,"정상","봄",309.8,13.1,9.3,10.4,67.6,13.6,57,19.21,0.73,"영섬","부안"
"충청남도",0.351,"정상","봄",269.1,13.1,9.1,11.3,79.4,12.7,73,40.74,2.95,"금강","보령"
"전라남도",-0.059,"정상","봄",288.9,13.1,10.5,7.8,67,12,64,47.55,1.89,"영섬","장흥"
"경상북도",0.548,"정상","봄",234.4,13.1,11.2,10.4,60.3,14.6,61,4.92,0.2,"낙동강","보현산"
"경상북도",0.548,"정상","봄",234.4,13.1,11.2,10.4,60.3,14.6,61,53.83,7.45,"낙동강","영천"
"경상남도",0.256,"정상","봄",245,13.1,12.6,8.7,53.6,17.4,34,25.72,0.81,"낙동강","밀양"
"경상남도",0.507,"정상","봄",258,13.1,12.1,9.8,53.6,15.6,64,264.98,1.98,"낙동강","합천"
"강원도",0.007,"정상","봄",188.4,13.2,10.6,10.5,57.1,13.8,37,54.55,1.85,"한강","횡성"
"경상북도",0.621,"정상","봄",269.9,13.2,10.8,10.8,56.8,18,48,0.44,5.39,"낙동강","영주"
"전라북도",-0.119,"정상","봄",327,13.1,9.6,8.9,62.8,13.7,67,373.65,13.35,"영섬","용담"
"경상남도",0.622,"정상","봄",484.6,13.1,13,8.8,68,14.5,65,8.31,0.28,"낙동강","구천"
"경상남도",0.622,"정상","봄",484.6,13.1,13,8.8,68,14.5,65,4.11,0.16,"낙동강","연초"
"경상남도",0.322,"정상","봄",326.7,13.1,11.5,9.2,58.4,14.6,91,154.98,74.28,"낙동강","남강"
"경상북도",0.338,"정상","봄",230.1,13.2,13.6,11.6,54.4,16.7,57,521.83,0.04,"낙동강","안동"
"경상북도",0.338,"정상","봄",230.1,13.2,13.6,11.6,54.4,16.7,57,289.57,27.24,"낙동강","임하"
"충청북도",0.347,"정상","봄",249.2,13.2,13.7,10.1,46.8,14.7,78,1070.23,39.06,"금강","대청"
"대구광역시",0.409,"정상","봄",222,13.2,14.6,10.1,55.8,18.9,69,17.11,0.7,"낙동강","군위"
"강원도",-0.034,"정상","봄",188.4,13.2,11.9,10.6,52.6,15.1,43,54.64,1.92,"한강","횡성"
"경상남도",0.282,"정상","봄",326.7,13.1,12.8,10.3,63.6,16.4,93,153.39,74.45,"낙동강","남강"
"전라북도",0.426,"정상","봄",309.8,13.2,11.5,10.9,64,15.5,58,19.25,0.8,"영섬","부안"
"충청남도",0.333,"정상","봄",269.1,13.2,10.6,8.2,69.5,13.7,72,40.86,2.88,"금강","보령"
"전라남도",-0.101,"정상","봄",288.9,13.1,12.3,9.8,73.5,13.8,64,47.7,1.89,"영섬","장흥"
"경상남도",0.614,"정상","봄",484.6,13.1,14.1,8.8,75.5,16.6,64,8.32,0.29,"낙동강","구천"
"경상남도",0.614,"정상","봄",484.6,13.1,14.1,8.8,75.5,16.6,64,4.11,0.15,"낙동강","연초"
"경상북도",0.58,"정상","봄",269.9,13.2,12.8,9.4,52,19.4,47,0.42,5,"낙동강","영주"
"경상남도",0.476,"정상","봄",258,13.2,14,9.9,54.6,18.8,64,265.88,2.03,"낙동강","합천"
"광주광역시",-0.234,"정상","봄",274.6,13.1,14,10.6,61.9,17.2,78,3.82,0.34,"영섬","평림"
"경상남도",0.201,"정상","봄",245,13.1,13.8,9.8,62.4,18.3,34,25.87,0.74,"낙동강","밀양"
"경상남도",-0.163,"정상","여름",627.4,14.2,30.3,12,67.9,40.1,64,50.68,2.67,"낙동강","밀양"
"경상남도",0.374,"정상","여름",715.5,14.3,30,11.2,66.3,41.1,37,375.96,9.07,"낙동강","합천"
"강원도",0.723,"정상","여름",788.8,14.4,28.2,10.8,72.3,34.6,17,51.48,3.57,"한강","횡성"
"경상북도",0.479,"정상","여름",596.3,14.3,30.8,12.2,60.3,36.5,61,11.42,0.34,"낙동강","보현산"
"경상북도",0.479,"정상","여름",596.3,14.3,30.8,12.2,60.3,36.5,61,70.71,7.98,"낙동강","영천"
"광주광역시",-0.161,"정상","여름",658.6,14.2,30.8,12.3,71.4,40,57,6.16,0.41,"영섬","평림"
"대구광역시",0.672,"정상","여름",625.6,14.3,31.5,11.4,54.9,38.9,23,31.34,0.9,"낙동강","군위"
"충청북도",0.453,"정상","여름",669.8,14.3,30.1,12.6,60.9,34.6,60,910.3,39.79,"금강","대청"
"경상남도",1.308,"보통습윤","여름",1511.6,14.2,29.9,12.4,78.5,36.6,19,9.18,0.35,"낙동강","구천"
"경상남도",1.308,"보통습윤","여름",1511.6,14.2,29.9,12.4,78.5,36.6,19,4.33,0.2,"낙동강","연초"
"강원도",0.68,"정상","여름",788.8,14.4,28.8,10.6,70.4,34.5,17,51.3,3.49,"한강","횡성"
"경상남도",0.25,"정상","여름",875.3,14.2,29.1,12.5,65.9,39,64,115.74,40.28,"낙동강","남강"
"전라남도",-0.536,"정상","여름",661.5,14.2,28.5,9.4,76,37.2,41,58.18,3.12,"영섬","장흥"
"경상북도",0.436,"정상","여름",596.3,14.3,30.8,12.3,62.6,37.4,60,11.39,0.34,"낙동강","보현산"
"경상북도",0.436,"정상","여름",596.3,14.3,30.8,12.3,62.6,37.4,60,70.44,7.96,"낙동강","영천"
"광주광역시",-0.175,"정상","여름",658.6,14.2,30.5,8.1,72.1,34.8,58,6.14,0.42,"영섬","평림"
"대구광역시",0.64,"정상","여름",625.6,14.3,31.1,8.2,58.9,37.2,22,31.27,0.9,"낙동강","군위"
"전라북도",0.643,"정상","여름",731.3,14.2,29.1,11.2,70.8,38.1,60,30.95,0.91,"영섬","부안"
"경상남도",0.348,"정상","여름",715.5,14.2,29.8,12.5,67.5,40.8,39,375.48,9.12,"낙동강","합천"
"전라북도",-0.001,"정상","여름",719.9,14.2,27.1,8.2,73.4,34.8,26,489.17,13.05,"영섬","용담"
"충청남도",0.664,"정상","여름",693.2,14.3,28.5,9.1,83.6,36.1,21,73.91,3.72,"금강","보령"
"경상남도",1.292,"보통습윤","여름",1511.6,14.2,30.7,12.5,76.8,38.1,18,9.16,0.35,"낙동강","구천"
"경상남도",1.292,"보통습윤","여름",1511.6,14.2,30.7,12.5,76.8,38.1,18,4.31,0.2,"낙동강","연초"
"충청북도",0.422,"정상","여름",669.8,14.3,31.3,12.4,53.9,35.3,59,908.09,40,"금강","대청"
"경상남도",-0.186,"정상","여름",627.4,14.2,30.4,11.5,66.3,39.6,100,50.46,2.64,"낙동강","밀양"
"경상북도",0.593,"정상","여름",779.5,14.3,29.1,12.6,69.9,40.9,15,0.3,0.94,"낙동강","영주"
"경상북도",0.276,"정상","여름",561.2,14.3,31,12.7,65,39.4,33,696.82,6.06,"낙동강","안동"
"경상북도",0.276,"정상","여름",561.2,14.3,31,12.7,65,39.4,33,374.03,41.86,"낙동강","임하"
"전라북도",0.015,"정상","여름",719.9,14.2,26.5,7.8,73.1,33.1,25,488.39,12.89,"영섬","용담"
"충청북도",0.34,"정상","여름",669.8,14.3,31.4,10.4,56.8,34,59,905.88,39.81,"금강","대청"
"대구광역시",0.604,"정상","여름",625.6,14.2,31.1,7.5,57.3,38.4,21,31.19,0.88,"낙동강","군위"
"광주광역시",-0.182,"정상","여름",658.6,14.2,29.5,4.5,71.6,36.2,58,6.1,0.4,"영섬","평림"
"경상북도",0.395,"정상","여름",596.3,14.2,30.6,10.5,60,35.9,61,11.35,0.34,"낙동강","보현산"
"경상북도",0.395,"정상","여름",596.3,14.2,30.6,10.5,60,35.9,61,70.44,7.97,"낙동강","영천"
"경상남도",-0.241,"정상","여름",627.4,14.2,29.4,6.4,72,37.2,100,50.22,2.63,"낙동강","밀양"
